city,corridor,zone,hour,day_of_week,vehicle_count,historical_avg_speed_kmh,target_speed_kmh
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,11,0,385,19.9,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,17,6,57,46.9,19.4
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,18,2,226,36.7,11.2
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,17,5,384,11.9,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,23,3,199,16.5,10.6
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,5,2,379,22.5,9.3
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,11,6,158,29.7,10.3
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,13,5,57,18.2,15.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,22,4,275,49.1,26.8
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,18,2,251,37.4,10.8
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,12,3,242,34.7,20.4
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,18,0,173,20.9,7.1
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,18,2,255,37.7,10.8
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,0,5,139,33.7,24.3
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,8,4,201,15.0,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,13,5,222,28.6,17.6
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,6,0,66,29.6,24.1
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,12,0,370,40.3,17.1
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,16,6,142,36.3,26.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,23,1,385,19.0,7.7
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,14,2,374,13.1,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,17,5,444,46.2,7.6
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,12,3,451,36.4,11.7
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,16,3,71,23.8,19.2
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,12,6,244,25.7,15.1
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,14,4,370,21.0,8.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,0,0,139,22.0,15.9
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,7,2,414,39.4,14.5
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,12,4,236,9.6,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,12,0,152,19.6,13.8
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,20,3,373,47.2,9.9
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,15,6,146,39.9,28.4
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,16,4,282,36.9,19.8
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,12,1,369,12.3,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,13,0,211,33.5,21.1
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,17,2,128,38.3,14.1
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,21,5,186,36.1,11.9
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,0,2,463,31.1,9.5
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,11,2,347,30.3,6.9
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,11,4,338,47.1,11.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,19,1,479,47.7,6.8
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,0,3,195,19.8,12.9
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,22,3,264,39.1,21.9
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,4,5,196,23.1,15.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,22,6,149,47.3,33.5
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,5,4,124,41.0,30.4
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,4,3,464,41.0,12.4
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,10,1,79,15.1,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,0,5,112,28.1,21.2
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,16,3,226,29.9,18.2
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,13,0,176,19.0,12.8
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,13,4,292,30.3,15.9
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,20,4,135,33.8,12.3
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,23,0,274,14.7,8.1
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,9,4,352,29.8,6.7
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,17,1,467,37.1,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,20,1,225,47.9,14.6
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,4,1,266,24.9,13.9
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,2,5,278,9.6,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,3,4,416,23.4,8.5
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,18,2,121,15.2,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,3,6,296,43.0,22.3
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,10,1,213,36.5,11.4
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,7,2,374,37.3,15.6
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,13,2,227,41.3,25.1
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,3,3,328,37.2,17.8
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,12,2,265,23.6,13.2
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,13,3,124,12.9,9.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,2,3,326,44.4,21.4
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,11,2,175,41.3,13.9
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,17,1,342,23.4,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,14,5,307,31.9,16.1
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,10,0,208,18.7,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,7,4,391,11.3,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,18,2,341,48.4,11.2
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,17,3,160,22.5,7.8
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,2,5,157,17.7,12.4
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,23,3,427,33.4,11.7
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,4,0,358,17.2,7.6
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,12,5,468,30.2,9.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,22,2,361,29.8,13.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,21,6,299,31.4,8.1
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,20,6,110,45.7,17.3
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,18,0,308,42.2,10.6
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,0,2,52,26.2,21.8
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,15,3,121,26.4,19.7
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,14,5,153,14.4,10.1
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,3,166,31.4,10.8
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,10,5,179,24.8,8.3
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,8,4,229,29.0,8.8
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,20,4,395,21.4,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,17,2,359,13.5,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,17,0,459,33.8,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,17,1,437,10.2,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,12,6,331,43.8,20.8
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,0,5,282,33.0,17.7
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,19,5,322,23.6,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,6,5,146,42.5,30.3
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,5,2,95,33.7,26.2
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,2,2,414,26.3,9.7
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,4,1,213,9.4,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,14,4,81,44.5,35.4
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,13,3,453,27.2,8.6
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,13,0,370,13.9,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,0,5,115,22.1,16.6
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,15,2,400,43.0,16.6
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,2,5,54,34.4,28.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,12,0,363,35.7,15.5
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,14,3,304,12.3,6.3
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,17,5,196,16.4,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,7,0,468,43.2,12.9
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,8,0,480,23.5,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,13,6,184,27.5,18.2
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,5,1,455,33.0,10.4
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,22,1,239,22.4,13.3
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,20,3,94,31.6,12.3
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,20,1,353,42.6,9.5
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,18,4,358,37.9,8.3
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,3,1,461,26.3,8.1
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,22,3,262,18.5,10.4
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,4,3,222,48.7,29.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,8,0,341,20.0,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,11,5,165,25.1,8.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,2,63,30.0,12.3
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,17,2,109,8.7,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,13,1,249,45.0,26.1
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,17,6,386,29.6,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,6,4,154,11.4,8.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,1,4,67,47.1,38.3
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,11,2,114,39.5,14.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,1,1,68,15.4,12.5
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,2,1,106,27.0,20.6
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,4,6,456,34.9,10.9
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,5,4,376,29.3,12.2
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,22,4,163,10.8,7.5
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,1,276,17.1,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,18,3,380,17.0,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,21,6,121,21.1,7.9
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,5,0,358,29.6,13.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,1,4,306,30.1,15.2
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,2,3,230,33.6,20.3
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,6,5,426,13.3,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,22,6,416,23.5,8.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,5,320,41.6,10.2
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,10,5,344,13.9,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,22,1,338,30.3,14.1
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,0,4,75,16.6,13.3
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,11,4,84,16.4,6.5
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,14,2,152,23.8,16.8
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,13,4,422,12.9,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,2,2,63,27.6,22.6
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,13,6,236,20.8,12.4
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,10,4,162,13.7,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,16,4,112,16.8,12.7
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,17,6,161,39.1,13.5
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,23,3,52,22.5,18.7
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,3,3,205,34.7,22.1
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,9,6,286,10.5,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,20,5,113,19.1,7.2
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,14,1,57,14.7,12.2
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,8,0,164,8.6,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,6,5,365,21.0,9.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,18,2,178,13.5,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,1,3,164,9.2,6.3
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,10,1,82,15.6,6.2
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,21,0,105,32.6,12.5
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,18,1,93,29.7,11.6
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,14,2,125,9.9,7.3
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,4,6,309,15.6,7.8
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,9,3,361,27.9,6.1
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,15,4,172,9.4,6.4
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,1,6,51,20.2,16.9
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,1,2,313,39.1,19.5
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,12,4,424,20.4,7.2
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,3,3,56,42.2,34.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,3,3,369,39.3,16.7
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,13,6,478,40.3,11.5
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,0,2,472,8.3,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,14,3,267,34.8,19.4
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,17,6,76,34.9,14.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,10,0,274,46.4,12.7
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,22,5,344,17.2,7.9
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,0,3,399,30.7,11.9
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,3,0,311,32.4,16.2
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,23,2,179,34.9,23.4
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,1,3,385,40.9,16.6
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,12,3,306,34.9,17.7
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,4,6,59,33.4,27.5
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,22,0,181,16.0,10.7
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,6,3,53,25.6,21.3
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,13,5,325,38.2,18.4
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,16,0,371,18.3,7.7
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,0,3,379,40.1,16.5
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,0,4,79,18.9,15.1
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,10,5,191,24.9,8.1
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,13,6,360,17.0,7.4
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,12,6,392,20.5,8.1
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,13,0,277,42.8,23.3
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,7,6,256,32.2,18.4
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,10,3,289,27.1,7.2
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,13,6,413,45.4,16.8
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,12,6,417,16.5,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,16,3,119,32.4,24.2
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,6,150,18.0,6.4
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,2,2,231,20.1,12.1
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,15,4,274,21.4,11.7
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,5,3,228,27.2,16.5
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,18,4,252,8.3,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,15,6,286,9.6,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,12,1,202,44.4,28.4
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,14,3,265,33.5,18.7
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,16,4,257,38.1,21.7
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,22,6,293,39.9,20.9
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,12,1,232,47.9,28.8
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,12,2,328,36.9,17.6
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,23,6,178,32.7,21.9
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,1,5,259,17.4,9.9
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,6,3,288,26.4,14.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,9,6,58,38.9,16.1
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,17,4,96,32.3,12.5
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,6,3,231,25.2,15.2
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,1,5,133,37.7,27.5
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,14,2,163,21.4,14.8
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,16,4,304,28.0,14.3
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,23,2,294,31.2,16.3
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,9,1,429,12.7,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,22,1,73,20.6,16.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,23,6,469,19.2,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,6,3,384,39.5,16.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,23,4,172,22.6,15.3
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,2,5,368,32.0,13.7
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,4,330,24.6,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,22,3,189,36.8,24.2
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,22,3,267,43.5,24.2
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,12,6,394,37.6,14.8
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,7,0,449,25.7,8.3
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,17,6,125,21.6,8.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,19,1,283,37.4,10.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,22,6,330,8.2,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,0,3,140,39.0,28.1
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,11,1,90,49.9,19.6
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,7,0,245,37.1,21.7
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,10,0,56,47.4,19.6
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,0,3,72,46.8,37.8
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,5,3,132,27.4,20.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,8,1,280,34.9,9.4
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,6,0,332,28.1,13.3
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,14,1,233,32.6,19.6
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,14,1,363,25.7,11.1
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,12,1,288,29.1,15.4
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,0,5,203,11.2,7.2
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,22,1,222,45.2,27.8
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,1,0,174,10.9,7.4
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,2,2,387,20.7,8.3
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,11,1,301,20.5,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,2,444,47.5,7.8
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,9,6,291,18.9,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,13,5,286,30.6,16.3
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,4,5,358,41.8,18.4
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,10,6,401,36.1,6.9
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,3,3,114,24.4,18.4
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,9,2,304,22.4,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,14,0,424,20.0,7.1
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,13,2,144,21.4,15.3
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,11,0,404,12.5,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,17,0,244,48.0,14.1
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,2,2,81,46.8,37.2
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,22,3,338,12.0,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,2,1,357,34.0,15.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,13,0,235,34.2,20.4
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,0,2,288,10.2,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,10,0,329,11.8,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,2,5,350,41.5,18.7
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,9,3,477,34.6,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,0,0,352,43.1,19.3
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,3,2,301,28.6,14.7
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,11,0,203,39.9,12.7
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,23,0,440,31.6,10.6
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,10,2,185,21.2,7.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,10,3,200,25.0,8.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,20,0,272,19.9,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,15,1,110,29.0,22.0
