hour,day_of_week,vehicle_count,historical_avg_speed,target_speed_kmh
18,1,185,23.1,9.6
7,0,80,16.9,14.6
7,0,128,55.5,43.7
10,4,207,50.1,19.7
9,2,282,32.1,10.2
14,6,115,56.3,45.5
20,4,331,54.9,24.6
22,3,38,52.0,48.7
0,3,158,46.0,33.9
0,0,78,18.3,15.9
21,0,22,56.0,53.9
20,5,267,53.0,29.4
4,4,27,36.3,34.7
2,3,276,36.0,19.4
11,4,314,31.3,14.9
23,0,276,49.1,26.5
21,5,45,19.5,18.0
18,0,69,13.4,8.0
4,1,63,11.5,10.3
15,1,294,32.7,16.7
0,6,346,33.7,14.3
23,5,160,27.8,20.4
4,6,368,30.1,11.6
18,3,90,51.4,26.2
22,3,58,40.7,36.8
7,5,22,21.4,20.6
2,6,119,15.5,12.4
8,2,341,36.6,9.5
4,3,347,23.9,10.1
23,3,247,22.9,13.5
6,6,353,10.6,8.0
18,2,45,25.0,13.9
19,4,270,56.1,18.5
13,5,228,54.2,33.6
15,6,291,28.9,14.9
18,3,133,40.5,18.9
2,3,24,27.5,26.4
13,4,336,17.3,8.0
2,6,38,17.7,16.6
16,4,30,44.4,42.2
8,4,336,38.8,10.2
13,1,84,14.2,12.2
9,0,261,32.8,11.1
0,4,63,17.4,15.6
10,6,51,38.7,21.2
1,1,250,34.6,20.2
13,0,245,39.7,23.5
19,0,235,48.9,17.8
21,0,376,41.3,15.4
7,0,196,38.3,25.8
11,4,349,23.7,9.9
16,5,175,14.1,10.0
14,3,238,49.2,29.7
15,0,343,53.2,22.8
14,3,258,45.6,26.0
6,4,130,35.6,27.9
18,3,321,57.5,16.0
12,2,312,13.5,8.0
18,6,339,13.8,8.0
20,4,224,55.6,34.8
13,0,396,49.2,16.7
1,0,132,30.9,24.1
20,1,195,33.7,22.7
17,5,377,39.2,8.7
7,3,28,37.8,36.0
20,6,358,51.4,20.7
3,1,159,30.1,22.1
8,0,137,47.4,21.9
1,4,331,38.3,17.2
3,0,153,15.2,11.3
22,2,85,55.4,47.6
3,3,82,30.9,26.7
12,3,80,54.4,47.1
12,3,266,27.9,15.5
23,3,141,12.6,9.6
8,5,224,26.6,10.0
17,1,345,21.3,8.0
14,3,289,52.9,27.4
9,5,49,32.6,18.0
5,4,277,57.8,31.1
22,5,173,10.5,8.0
6,1,226,54.7,34.1
4,3,185,21.0,14.5
18,4,265,27.1,9.1
13,2,40,36.6,34.2
19,3,89,53.9,27.5
20,6,157,48.0,35.4
4,0,107,40.5,33.3
10,5,46,15.3,8.5
9,2,146,59.0,26.8
2,6,71,57.7,50.9
11,2,349,29.8,12.5
21,4,372,14.9,8.0
2,6,21,59.0,56.9
9,2,98,43.1,21.6
14,3,326,31.0,14.2
4,2,251,13.1,8.0
4,6,297,33.4,16.9
16,2,222,52.7,33.2
18,6,238,49.7,18.0
3,1,127,22.3,17.6
0,0,196,12.4,8.3
22,6,141,32.4,24.8
18,6,351,11.6,8.0
20,4,58,49.3,44.5
2,0,24,56.5,54.2
3,4,227,36.5,22.7
4,1,276,19.6,10.6
8,6,170,31.7,13.6
20,3,83,57.3,49.4
19,4,390,28.9,8.0
9,2,131,23.4,11.0
9,3,231,31.2,11.5
9,2,270,47.7,15.7
19,6,230,44.1,16.3
0,1,279,34.8,18.6
2,0,131,37.9,29.6
19,2,377,44.7,10.0
21,6,95,26.6,22.4
14,5,138,42.5,32.7
16,6,107,41.7,34.3
21,1,259,36.7,20.9
23,1,284,58.2,30.7
5,3,214,53.5,34.4
7,4,77,27.8,24.2
10,4,35,32.6,18.4
12,2,350,16.4,8.0
12,3,311,13.2,8.0
12,4,320,44.7,20.9
9,1,206,37.4,14.7
22,5,134,10.6,8.2
16,2,358,39.6,16.0
13,2,61,40.5,36.4
12,3,290,52.2,27.0
17,1,205,52.4,20.7
21,0,245,57.0,33.7
0,3,225,27.7,17.3
4,2,100,36.2,30.2
5,3,136,52.4,40.5
10,3,205,40.5,16.0
15,6,265,40.7,22.7
13,1,353,45.4,18.7
12,4,260,59.3,33.6
5,4,184,59.0,40.9
22,5,43,14.5,13.5
16,1,31,38.1,36.1
16,4,33,45.9,43.4
7,0,29,58.4,55.6
13,3,322,24.0,11.1
7,0,226,42.6,26.6
13,2,194,12.4,8.4
12,6,216,44.0,28.2
11,3,375,24.6,9.2
8,5,306,31.9,9.4
22,2,349,51.8,21.7
3,5,311,31.3,15.1
12,0,100,57.4,47.8
1,6,215,37.3,23.9
1,1,364,22.3,8.8
3,6,349,45.2,18.9
14,6,31,19.8,18.8
10,6,253,15.8,8.0
7,2,258,39.5,22.5
21,6,34,47.9,45.2
12,0,215,46.1,29.6
0,4,319,43.7,20.5
14,6,206,13.3,8.7
6,0,153,43.2,32.2
10,1,252,36.2,12.6
4,2,163,59.8,43.6
11,1,353,12.7,8.0
19,5,333,16.7,8.0
6,3,22,42.4,40.8
21,1,141,50.3,38.5
21,3,28,49.6,47.3
0,4,336,48.9,21.5
19,1,370,40.1,9.2
6,0,285,42.8,22.5
8,3,333,58.9,15.7
20,3,129,11.0,8.6
11,5,387,49.8,17.7
9,3,151,36.0,16.2
15,6,37,43.0,40.3
17,4,104,32.2,16.0
8,6,149,50.9,23.0
22,5,141,33.8,25.9
0,5,88,19.3,16.5
1,1,92,43.7,37.0
6,6,359,53.8,21.6
18,4,198,17.7,8.0
11,2,115,40.1,32.4
14,4,73,31.6,27.8
3,0,380,38.0,13.9
14,1,314,58.6,27.9
20,2,363,44.4,17.5
3,2,61,58.9,52.9
1,3,186,29.8,20.6
0,5,69,39.7,35.1
22,2,41,14.3,13.3
1,4,256,58.2,33.4
11,6,234,14.2,8.7
4,5,20,50.7,49.0
4,2,340,13.6,8.0
13,1,243,30.1,17.9
3,5,239,26.5,15.9
12,2,22,38.5,37.1
23,5,283,28.0,14.8
6,1,216,58.9,37.7
16,3,101,29.5,24.5
14,5,154,47.0,34.9
12,2,161,37.0,27.1
7,5,277,23.4,12.6
23,3,79,25.2,21.9
8,6,54,12.4,8.0
7,6,161,50.1,36.7
4,2,284,38.6,20.3
23,3,185,42.2,29.2
21,5,104,35.0,28.9
10,5,115,18.4,8.9
15,6,305,33.2,16.3
11,1,51,14.9,13.6
4,1,260,29.7,16.8
10,2,49,53.7,29.6
6,3,343,45.3,19.4
5,0,58,28.9,26.1
11,3,165,23.8,17.3
10,3,210,58.2,22.7
13,5,384,25.2,9.1
11,2,364,18.6,8.0
3,5,55,44.3,40.2
8,4,167,23.0,10.0
11,3,172,28.8,20.5
9,6,228,48.5,18.0
19,1,399,35.3,8.0
13,6,122,49.4,39.4
16,2,212,23.9,15.5
0,2,340,58.9,25.5
10,5,149,38.2,17.2
15,0,87,14.6,12.5
12,2,54,55.9,50.9
15,3,22,23.4,22.5
17,4,273,17.3,8.0
5,3,361,45.1,18.0
15,5,68,45.3,40.2
15,4,256,48.2,27.6
3,4,341,41.6,18.0
11,4,104,10.3,8.5
11,3,30,38.5,36.6
14,1,336,31.7,13.9
12,6,251,20.2,11.7
5,0,257,34.1,19.5
9,0,183,18.3,8.0
3,1,38,38.8,36.3
13,4,122,16.5,13.1
21,2,290,29.9,15.4
20,6,303,19.2,9.5
13,3,338,56.1,24.5
8,5,84,48.6,25.1
19,1,264,14.4,8.0
7,3,88,24.9,21.2
18,0,189,10.3,8.0
2,4,268,12.9,8.0
10,4,210,38.4,15.0
3,5,216,53.3,34.1
8,1,48,12.0,8.0
17,4,227,34.2,12.8
0,6,46,32.5,30.0
23,2,385,53.3,19.1
6,3,340,20.0,8.7
10,0,109,11.4,8.0
16,0,270,41.3,22.7
21,6,247,29.9,17.6
23,4,147,19.7,14.9
7,3,65,16.8,15.0
12,4,379,40.4,14.9
12,4,87,16.0,13.7
16,4,171,27.7,19.8
8,5,377,57.0,12.7
7,5,396,14.8,8.0
9,2,122,21.7,10.4
18,0,175,51.9,22.1
2,4,228,20.6,12.8
13,2,188,24.0,16.5
6,4,214,25.8,16.6
9,0,141,15.0,8.0
7,3,264,51.3,28.7
12,4,232,58.4,35.8
0,4,103,53.6,44.4
14,2,30,26.1,24.8
5,4,299,44.5,22.3
6,1,116,42.0,33.9
7,3,70,38.0,33.6
8,5,283,16.1,8.0
20,2,129,17.6,13.8
10,3,166,17.9,8.0
17,6,44,24.0,13.3
3,5,80,56.1,48.6
22,4,50,12.2,11.2
17,6,368,51.1,11.9
4,6,156,37.3,27.6
11,1,96,48.1,40.4
9,0,144,16.2,8.0
3,6,146,41.4,31.3
12,3,334,12.0,8.0
12,5,223,13.5,8.5
5,1,29,43.7,41.6
14,4,307,14.6,8.0
21,5,62,28.2,25.3
3,4,185,46.5,32.2
20,3,235,48.9,29.7
9,3,305,35.1,10.4
2,0,335,20.7,9.1
16,4,56,48.1,43.6
18,4,46,58.7,32.5
0,3,123,17.4,13.8
2,3,353,46.3,19.1
2,5,235,42.2,25.7
3,2,199,23.9,16.0
21,6,252,10.9,8.0
21,6,338,33.3,14.5
7,0,137,36.0,27.8
20,6,243,46.9,27.9
17,6,360,44.5,10.7
7,6,130,40.9,32.0
13,2,153,49.6,37.0
21,5,338,24.9,10.9
10,2,299,59.9,18.0
6,4,203,52.8,34.9
13,1,198,58.7,39.3
15,4,292,57.0,29.3
20,6,148,23.7,17.9
3,0,274,51.3,27.9
1,0,122,30.5,24.3
11,6,141,13.3,10.2
7,0,207,49.3,32.3
5,0,302,50.1,24.9
13,5,128,47.1,37.1
20,0,358,57.6,23.2
1,6,338,16.5,8.0
10,3,203,45.0,17.9
14,2,98,21.8,18.2
20,2,360,44.8,17.9
0,6,125,21.6,17.1
18,3,206,50.5,19.9
10,0,320,41.9,11.7
7,0,166,32.9,23.8
19,5,186,22.1,9.1
4,2,162,12.7,9.3
20,6,234,21.6,13.2
14,4,223,26.8,16.8
6,1,112,16.2,13.2
6,1,81,32.7,28.3
21,3,345,14.9,8.0
16,4,74,50.4,44.2
20,2,145,15.2,11.5
0,4,323,53.3,24.6
3,0,89,58.6,49.9
9,2,34,56.6,32.0
3,3,168,25.1,18.1
16,4,326,43.4,19.8
14,2,310,59.5,28.8
13,2,100,50.9,42.4
19,4,315,20.9,8.0
11,4,184,38.1,26.4
22,0,22,28.7,27.6
15,6,143,20.1,15.3
5,3,230,49.0,30.2
23,4,273,38.0,20.7
5,0,211,29.7,19.3
17,6,256,10.3,8.0
7,3,163,31.9,23.2
23,4,143,33.3,25.4
9,2,182,22.3,9.3
21,0,82,17.1,14.8
11,2,215,36.9,23.7
19,2,220,11.5,8.0
4,2,355,22.3,9.1
0,4,390,57.8,20.2
8,1,307,36.2,10.6
19,1,332,23.7,8.0
10,6,212,29.7,11.5
5,6,385,28.0,10.0
20,5,234,32.2,19.6
14,2,372,10.2,8.0
17,0,346,57.7,14.7
15,6,240,42.2,25.3
17,1,182,45.9,19.2
0,1,110,59.8,48.8
18,2,329,53.8,14.6
10,1,193,13.3,8.0
16,1,161,46.3,33.9
23,4,269,29.2,16.1
11,6,25,57.1,54.7
8,0,341,47.7,12.4
1,3,29,40.4,38.4
3,6,244,41.2,24.4
12,1,255,56.9,32.7
22,6,370,38.8,14.9
11,2,41,29.0,27.0
18,3,152,29.5,13.2
19,2,143,24.3,11.1
23,3,398,35.8,12.1
12,1,193,43.9,29.8
17,4,243,33.8,12.1
17,6,87,53.9,27.7
17,3,281,17.4,8.0
2,5,332,25.0,11.2
23,4,344,36.4,15.5
19,4,285,41.9,13.2
6,0,67,16.2,14.4
11,0,254,24.3,14.0
22,1,393,29.8,10.3
6,6,358,57.6,23.2
12,3,237,51.2,31.0
22,4,308,25.0,12.2
21,4,210,21.8,14.2
11,2,183,40.1,27.9
18,2,352,38.4,9.5
17,1,310,24.0,8.0
20,0,26,10.9,10.4
19,5,326,43.3,11.9
11,2,346,37.0,15.7
1,1,336,18.5,8.1
7,3,142,55.4,42.3
11,2,22,16.8,16.2
2,0,212,13.4,8.7
19,2,113,44.6,21.7
0,5,368,57.7,22.3
6,3,109,50.4,41.2
22,0,65,58.5,52.2
18,4,297,29.6,9.0
23,3,23,10.6,10.2
1,6,210,34.6,22.5
14,5,380,33.6,12.3
4,4,124,54.3,43.1
9,2,36,28.8,16.2
15,5,23,32.1,30.9
19,4,352,21.8,8.0
8,5,244,49.6,17.7
2,0,232,46.8,28.7
21,6,195,34.3,23.2
23,5,37,42.7,40.1
15,5,274,21.8,11.8
1,5,368,39.0,15.1
2,4,55,46.3,42.1
7,2,383,35.4,12.8
22,2,321,55.2,25.7
3,2,256,12.4,8.0
21,6,365,41.9,16.4
8,6,371,22.7,8.0
12,5,165,14.4,10.4
2,0,331,24.5,11.0
18,3,399,26.4,8.0
2,2,90,42.9,36.5
9,1,25,17.3,9.9
23,0,220,43.1,27.3
7,0,188,30.2,20.7
3,0,157,39.8,29.4
14,0,248,23.6,13.8
0,6,386,26.4,9.4
12,2,329,13.3,8.0
0,3,386,35.2,12.6
4,2,318,57.7,27.1
21,4,58,34.3,31.0
2,3,331,19.0,8.5
17,0,89,44.4,22.7
18,1,352,48.4,12.0
22,4,149,52.6,39.5
5,3,289,28.0,14.5
5,5,98,49.5,41.4
19,2,191,17.2,8.0
23,1,118,28.1,22.6
20,2,323,41.8,19.3
11,6,116,28.3,22.8
21,4,366,23.0,9.0
16,0,286,38.7,20.3
9,4,204,54.8,21.7
10,6,137,48.4,22.4
19,5,30,20.9,11.9
13,4,137,47.7,36.8
17,0,47,32.6,18.0
3,0,328,54.7,24.8
15,6,35,53.3,50.2
5,3,24,28.2,27.1
11,0,336,31.2,13.7
9,3,43,55.9,31.1
3,0,282,12.8,8.0
20,5,252,44.2,25.6
18,1,131,13.1,8.0
14,0,279,30.4,16.3
4,1,70,58.0,51.2
10,6,175,41.7,17.7
11,3,108,33.6,27.6
7,3,122,11.6,9.2
20,1,354,58.2,23.9
3,6,56,20.5,18.6
3,4,215,45.0,28.9
5,2,99,12.2,10.2
3,6,92,51.9,43.9
16,6,237,57.2,34.6
11,2,56,27.2,24.7
22,0,261,42.8,24.2
9,4,363,25.5,8.0
17,0,279,15.4,8.0
5,2,343,14.9,8.0
22,4,270,19.9,10.9
15,6,197,55.2,37.1
14,2,34,23.6,22.3
20,0,182,14.3,10.0
19,4,173,56.5,24.1
19,3,246,42.4,15.0
17,6,191,55.5,22.7
9,5,114,35.6,17.3
15,3,101,48.7,40.5
1,1,284,43.8,23.1
7,3,375,31.8,11.9
14,6,104,48.1,39.8
21,4,262,29.4,16.6
7,0,118,55.9,44.9
8,1,286,52.9,16.6
12,6,215,22.4,14.4
8,0,129,22.1,10.4
3,2,190,40.7,27.8
9,0,340,18.6,8.0
4,1,334,28.0,12.4
14,6,334,46.3,20.5
19,1,185,20.6,8.5
19,4,132,15.8,8.0
7,1,138,25.3,19.5
11,1,250,10.3,8.0
19,4,346,45.8,11.6
4,4,358,48.8,19.7
22,3,397,52.4,17.7
11,6,309,49.7,24.1
23,2,128,23.0,18.1
16,5,161,57.4,42.0
9,6,292,17.1,8.0
21,5,214,47.2,30.4
4,4,113,30.4,24.7
19,2,257,41.6,14.3
4,6,174,33.6,23.9
21,2,191,41.6,28.4
23,2,322,17.9,8.3
6,0,362,34.0,13.5
20,3,33,18.9,17.9
15,4,142,32.5,24.8
19,4,209,43.7,17.1
9,0,368,56.8,13.2
14,6,358,19.1,8.0
6,5,193,18.6,12.6
13,2,314,59.8,28.5
2,2,283,33.4,17.6
16,1,228,58.0,36.0
13,4,292,57.0,29.3
3,1,250,25.1,14.6
4,5,42,48.4,45.0
11,5,76,40.0,34.9
1,1,101,14.4,12.0
18,6,120,51.1,24.5
6,0,198,53.8,36.0
10,6,309,12.4,8.0
7,3,285,48.4,25.4
7,1,320,19.0,8.9
5,6,126,27.0,21.3
23,5,313,27.3,13.1
10,2,292,59.5,18.3
0,0,38,49.3,46.2
14,0,319,30.3,14.2
9,5,211,52.5,20.4
4,3,389,39.5,13.9
18,6,241,42.0,15.1
15,3,267,47.8,26.5
5,4,388,52.6,18.6
19,4,203,31.4,12.5
13,5,214,17.5,11.3
13,3,39,44.6,41.7
4,4,111,12.7,10.4
19,6,78,39.5,20.6
6,4,204,51.9,34.3
19,6,266,54.3,18.1
11,0,266,45.5,25.3
0,5,165,17.0,12.3
13,0,97,14.2,11.9
14,6,323,52.1,24.1
0,4,162,23.7,17.3
6,6,206,27.6,18.1
5,5,227,56.2,34.9
22,6,105,17.3,14.3
14,0,86,12.4,10.6
16,5,292,51.7,26.5
10,5,279,53.7,17.2
8,0,105,25.1,12.4
10,5,90,35.6,18.2
2,2,233,47.0,28.7
3,6,97,32.9,27.6
10,2,204,34.2,13.5
19,1,243,27.3,9.7
23,6,133,12.1,9.4
9,4,263,30.7,10.3
3,1,253,28.5,16.5
21,0,77,58.6,51.1
8,2,320,10.5,8.0
23,3,353,37.1,15.3
3,6,80,37.7,32.7
9,3,24,31.3,18.0
15,1,396,32.0,10.9
15,5,94,29.7,25.0
7,6,298,44.1,22.2
3,4,357,28.3,11.5
1,1,165,16.6,12.0
3,4,272,58.7,32.1
20,0,123,52.9,42.1
3,6,34,12.0,11.3
14,6,335,46.4,20.5
22,6,329,36.4,16.4
11,6,36,40.1,37.7
15,3,127,32.0,25.2
4,4,177,17.7,12.5
10,1,273,37.8,12.4
6,1,132,35.8,27.9
10,3,313,45.3,13.0
1,6,148,11.0,8.3
16,0,355,48.3,19.7
6,5,387,47.3,16.8
18,2,69,53.8,28.6
22,5,184,56.7,39.3
23,2,145,34.8,26.4
21,0,148,17.9,13.5
18,1,299,16.7,8.0
15,6,113,44.8,36.4
17,2,335,33.4,8.9
3,6,308,36.0,17.5
5,0,39,34.3,32.1
10,6,305,13.2,8.0
19,4,117,21.8,10.5
6,5,231,24.6,15.1
5,1,75,36.8,32.2
18,6,39,21.0,11.8
11,4,286,32.1,16.8
4,4,47,55.4,51.1
0,3,343,12.8,8.0
17,3,202,34.8,13.9
1,1,254,55.5,32.0
16,3,312,38.4,18.4
11,3,302,19.0,9.4
14,1,269,51.8,28.6
16,6,397,16.8,8.0
8,2,186,57.2,23.7
18,5,384,35.6,8.0
15,5,326,18.9,8.6
11,0,130,25.0,19.6
1,0,280,58.9,31.4
17,6,118,40.6,19.6
23,4,362,55.4,22.0
14,2,251,43.8,25.5
17,5,169,40.7,17.5
9,3,29,53.8,30.7
23,1,24,30.6,29.4
20,2,382,25.8,9.4
22,2,347,29.2,12.3
4,5,42,18.1,16.8
10,0,42,15.3,8.5
16,4,22,28.9,27.8
20,6,159,35.7,26.2
22,4,300,12.6,8.0
16,6,60,55.7,50.1
9,0,97,50.3,25.3
6,2,127,54.5,43.0
14,0,328,16.2,8.0
18,2,262,46.4,15.7
16,5,197,33.2,22.3
0,5,311,47.0,22.6
1,4,101,38.0,31.6
0,4,197,25.3,17.0
0,6,349,26.7,11.2
8,6,214,17.5,8.0
11,4,27,37.2,35.5
16,6,317,44.8,21.1
21,1,274,17.8,9.7
0,0,358,29.8,12.0
7,1,148,43.9,33.1
2,3,134,58.0,45.0
3,2,369,51.8,19.9
16,4,238,53.6,32.3
23,3,257,56.7,32.4
6,4,321,54.2,25.2
0,5,129,15.7,12.3
23,4,86,41.9,35.9
4,2,315,45.3,21.5
4,3,147,14.7,11.1
23,6,248,23.4,13.7
13,1,350,26.0,10.8
3,2,351,59.6,24.7
4,2,364,59.2,23.3
23,0,205,44.9,29.6
23,0,334,17.3,8.0
22,6,283,49.2,26.0
11,3,21,38.9,37.5
20,1,77,53.4,46.5
20,0,391,32.4,11.3
10,4,253,20.3,8.0
14,6,196,14.6,9.8
8,6,363,34.2,8.1
5,4,324,44.0,20.2
13,1,333,21.3,9.5
6,1,172,41.7,29.7
17,0,55,45.7,24.9
6,0,278,42.6,22.9
18,6,247,31.3,11.0
14,6,176,31.7,22.4
12,5,22,59.5,57.3
19,2,104,50.1,24.8
14,1,119,58.8,47.1
15,1,206,48.0,31.5
5,2,274,10.7,8.0
8,3,29,16.0,9.1
12,6,391,38.1,13.3
13,1,181,33.8,23.6
10,0,82,46.9,24.3
21,4,234,15.3,9.3
13,4,290,48.2,24.9
13,1,303,59.4,29.4
16,5,363,23.5,9.3
5,2,106,25.2,20.7
4,2,160,55.8,40.9
1,5,373,13.0,8.0
23,3,286,53.5,28.0
13,3,343,59.2,25.4
2,1,284,41.2,21.7
0,6,76,59.1,51.6
13,3,105,45.1,37.2
6,5,37,29.9,28.1
22,2,251,17.1,9.9
13,0,59,48.1,43.4
4,3,384,39.7,14.3
1,5,48,57.9,53.3
21,0,86,47.5,40.7
8,6,320,33.0,9.2
7,5,70,52.4,46.3
22,5,352,56.8,23.5
9,1,141,17.8,8.2
2,6,394,32.2,11.1
13,3,338,55.5,24.2
15,1,234,58.9,35.9
20,5,111,54.2,44.2
2,6,123,18.7,14.9
12,2,327,25.6,11.6
21,1,51,50.4,46.1
17,4,378,23.7,8.0
3,3,220,27.5,17.4
4,0,137,34.6,26.7
20,2,321,51.3,23.9
10,6,113,32.1,15.6
5,4,266,42.2,23.5
12,4,395,36.0,12.3
2,2,388,57.1,20.2
7,3,327,59.5,27.1
22,0,115,54.2,43.8
1,1,393,57.5,19.8
6,6,70,58.3,51.5
7,6,177,45.3,31.9
1,4,113,50.9,41.3
20,1,127,31.3,24.7
5,6,166,56.5,40.9
6,4,281,46.2,24.6
0,4,293,57.5,29.4
10,5,25,40.6,23.3
23,1,124,37.6,29.8
6,3,170,38.9,27.9
16,0,166,46.4,33.6
13,0,330,59.5,26.8
8,4,277,16.9,8.0
22,4,340,54.0,23.4
2,0,33,46.9,44.3
13,3,100,44.9,37.4
9,4,105,46.9,23.2
20,0,73,27.6,24.2
1,2,134,38.9,30.2
3,0,80,23.3,20.2
0,2,360,38.8,15.5
0,3,370,48.4,18.6
21,6,223,29.5,18.5
11,1,328,12.1,8.0
12,0,258,14.9,8.5
20,3,260,19.3,10.9
18,2,87,44.1,22.6
19,0,165,33.3,14.5
19,0,29,37.1,21.2
14,3,256,29.9,17.1
15,4,76,45.2,39.5
9,4,93,26.9,13.6
17,6,310,32.8,9.5
14,0,23,48.0,46.2
7,4,262,22.5,12.7
11,4,146,22.3,16.9
9,0,338,33.0,8.6
9,4,357,53.0,12.9
19,2,63,30.4,16.3
19,6,51,16.4,9.0
11,5,265,34.9,19.5
14,5,229,53.3,33.0
11,2,359,10.5,8.0
23,5,383,53.4,19.3
13,6,268,49.2,27.2
2,5,186,19.6,13.5
5,5,40,20.4,19.0
4,4,169,39.0,28.0
11,4,113,48.3,39.2
16,5,236,17.3,10.5
3,1,85,57.0,48.9
19,1,69,10.5,8.0
11,5,323,38.6,17.8
22,6,236,16.0,9.7
23,6,220,54.0,34.2
2,2,142,55.5,42.4
21,6,262,53.0,29.9
3,6,377,19.3,8.0
10,2,283,15.9,8.0
9,0,321,36.4,10.2
22,5,171,46.9,33.5
4,1,209,39.4,25.7
8,4,345,34.1,8.7
13,0,53,19.0,17.3
17,2,114,29.0,14.1
2,4,270,11.4,8.0
1,3,50,54.8,50.2
2,2,371,24.5,9.4
14,2,144,40.3,30.6
11,2,203,51.3,33.9
23,3,309,57.0,27.6
0,0,193,51.4,34.9
18,2,394,29.5,8.0
18,0,98,11.2,8.0
0,5,215,50.5,32.4
4,0,311,48.9,23.6
16,5,396,18.3,8.0
15,0,153,24.3,18.1
5,3,360,29.2,11.7
4,0,254,24.5,14.1
9,3,224,24.0,9.0
22,0,40,27.4,25.6
5,0,69,49.6,43.9
20,6,343,37.0,15.8
20,1,232,35.8,22.0
2,4,246,25.4,15.0
23,0,315,22.3,10.6
6,0,225,55.9,34.9
13,5,389,49.6,17.4
18,1,49,24.8,13.7
14,6,30,37.8,35.9
16,4,228,43.1,26.7
2,5,317,21.2,10.0
18,0,399,51.7,10.4
17,0,120,44.5,21.4
20,2,138,48.9,37.7
