city,corridor,zone,hour,day_of_week,vehicle_count,historical_avg_speed_kmh,is_tech_corridor,rain_factor,target_speed_kmh,congestion_level
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,5,4,229,12.0,1,1.0,7.5,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,11,2,191,48.0,1,0.5,6.5,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,17,3,582,18.0,1,1.0,4.0,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,8,4,184,35.0,0,1.0,13.7,HEAVY
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,2,5,424,22.0,0,0.5,4.7,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,19,0,155,35.0,0,1.0,14.3,HEAVY
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,20,6,522,16.0,1,1.0,4.0,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,17,3,540,35.0,0,1.0,6.4,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,5,1,284,48.0,1,1.0,27.2,MODERATE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,11,3,147,12.0,1,1.0,4.0,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,3,6,386,20.0,1,1.0,9.3,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,15,1,504,48.0,1,1.0,16.6,HEAVY
Bengaluru,Central Silk Board Junction,BLR_SOUTH,5,6,158,18.0,1,1.0,12.5,HEAVY
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,0,0,225,48.0,1,0.5,15.0,HEAVY
Bengaluru,Central Silk Board Junction,BLR_SOUTH,3,3,97,18.0,1,1.0,13.6,HEAVY
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,9,4,289,24.0,0,1.0,7.9,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,11,6,293,16.0,1,1.0,4.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,5,3,549,12.0,1,1.0,4.0,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,7,2,204,35.0,0,1.0,22.6,MODERATE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,14,4,150,22.0,0,1.0,15.4,HEAVY
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,9,5,201,12.0,1,1.0,4.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,21,5,409,48.0,1,0.5,4.4,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,17,5,284,35.0,0,1.0,11.7,HEAVY
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,4,2,135,35.0,0,0.5,12.5,HEAVY
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,16,3,248,16.0,1,1.0,9.6,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,9,1,357,16.0,1,1.0,4.0,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,10,6,298,20.0,1,0.5,4.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,16,4,555,12.0,1,1.0,4.0,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,13,6,579,35.0,0,1.0,9.5,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,1,1,450,12.0,1,1.0,4.8,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,20,6,593,12.0,1,1.0,4.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,2,1,254,12.0,1,1.0,7.2,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,4,4,567,48.0,1,1.0,13.6,HEAVY
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,14,6,164,20.0,1,1.0,13.7,HEAVY
Bengaluru,Central Silk Board Junction,BLR_SOUTH,17,6,241,18.0,1,1.0,4.5,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,23,2,141,48.0,1,1.0,34.0,LOW
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,20,0,65,16.0,1,0.5,4.0,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,14,1,484,16.0,1,1.0,5.9,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,1,5,431,18.0,1,1.0,7.5,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,6,5,404,16.0,1,1.0,7.1,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,19,1,539,20.0,1,1.0,4.0,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,11,6,593,16.0,1,1.0,4.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,19,2,120,12.0,1,1.0,4.0,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,14,3,225,18.0,1,1.0,11.2,HEAVY
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,4,2,156,24.0,0,0.5,8.3,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,11,4,147,48.0,1,1.0,13.9,HEAVY
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,9,6,507,35.0,0,1.0,7.1,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,21,4,284,18.0,1,1.0,4.2,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,6,4,123,18.0,1,0.5,6.5,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,21,2,203,12.0,1,1.0,4.0,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,5,5,283,35.0,0,1.0,19.8,HEAVY
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,23,4,456,16.0,1,1.0,6.3,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,10,6,100,12.0,1,1.0,4.0,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,16,6,215,18.0,1,1.0,11.4,HEAVY
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,5,4,490,12.0,1,1.0,4.3,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,21,6,594,20.0,1,1.0,4.0,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,23,2,403,20.0,1,1.0,8.9,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,8,1,395,16.0,1,1.0,4.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,14,1,176,48.0,1,1.0,32.4,LOW
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,15,1,373,20.0,1,1.0,9.5,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,20,4,233,12.0,1,1.0,4.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,12,2,190,12.0,1,1.0,7.9,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,9,6,192,16.0,1,1.0,4.3,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,2,0,188,16.0,1,1.0,10.6,HEAVY
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,21,5,207,35.0,0,1.0,13.2,HEAVY
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,4,1,209,16.0,1,1.0,10.3,HEAVY
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,17,6,184,12.0,1,1.0,4.0,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,18,3,490,20.0,1,1.0,4.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,12,2,509,12.0,1,0.5,4.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,20,4,590,48.0,1,1.0,5.1,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,20,4,587,20.0,1,1.0,4.0,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,11,1,435,24.0,0,1.0,5.9,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,3,1,387,35.0,0,0.5,8.1,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,17,3,570,35.0,0,1.0,5.8,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,15,5,588,48.0,1,1.0,12.6,HEAVY
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,22,6,480,24.0,0,1.0,8.9,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,21,4,385,24.0,0,1.0,6.6,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,0,0,198,16.0,1,1.0,10.4,HEAVY
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,15,0,149,12.0,1,1.0,8.4,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,2,6,282,22.0,0,1.0,12.5,HEAVY
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,8,6,365,22.0,0,1.0,6.3,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,3,5,392,16.0,1,1.0,7.3,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,7,6,81,22.0,0,0.5,8.5,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,0,4,343,18.0,1,1.0,9.1,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,17,4,565,18.0,1,1.0,4.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,2,5,471,12.0,1,0.5,4.0,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,0,2,261,16.0,1,0.5,4.7,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,20,1,581,24.0,0,1.0,4.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,23,6,109,12.0,1,1.0,8.9,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,12,6,174,35.0,0,1.0,23.7,MODERATE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,17,5,97,18.0,1,1.0,5.6,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,7,4,479,16.0,1,1.0,5.9,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,15,3,394,48.0,1,1.0,21.9,MODERATE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,12,4,447,18.0,1,1.0,7.3,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,19,1,570,22.0,0,1.0,4.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,20,1,269,48.0,1,1.0,11.5,HEAVY
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,21,0,534,35.0,0,1.0,6.5,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,17,6,157,48.0,1,0.5,6.8,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,9,0,253,22.0,0,1.0,7.7,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,15,6,236,20.0,1,1.0,12.3,HEAVY
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,23,6,204,22.0,0,1.0,14.2,HEAVY
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,5,1,256,12.0,1,1.0,7.1,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,18,3,84,48.0,1,1.0,15.1,HEAVY
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,12,4,178,35.0,0,1.0,23.5,MODERATE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,22,3,192,48.0,1,1.0,31.6,LOW
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,20,5,403,48.0,1,0.5,4.4,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,15,2,555,24.0,0,1.0,7.1,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,14,3,432,20.0,1,1.0,8.4,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,13,0,568,22.0,0,1.0,6.2,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,19,6,324,48.0,1,1.0,10.4,HEAVY
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,21,3,221,22.0,0,1.0,8.1,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,0,2,141,16.0,1,0.5,5.7,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,18,6,583,12.0,1,0.5,4.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,15,5,521,48.0,1,1.0,15.8,HEAVY
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,6,6,88,16.0,1,1.0,12.2,HEAVY
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,9,0,503,35.0,0,1.0,7.1,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,11,5,349,16.0,1,0.5,4.0,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,2,3,433,18.0,1,1.0,7.5,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,7,2,159,22.0,0,1.0,15.2,HEAVY
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,11,3,413,24.0,0,1.0,6.2,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,3,2,449,48.0,1,1.0,19.2,HEAVY
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,1,4,277,22.0,0,1.0,12.6,HEAVY
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,5,3,400,22.0,0,1.0,9.9,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,1,4,413,18.0,1,1.0,7.9,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,15,0,121,24.0,0,1.0,17.5,HEAVY
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,18,0,267,24.0,0,1.0,8.2,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,14,2,287,18.0,1,1.0,10.1,HEAVY
Bengaluru,Central Silk Board Junction,BLR_SOUTH,15,1,258,18.0,1,1.0,10.7,HEAVY
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,3,5,169,48.0,1,1.0,32.7,LOW
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,21,5,129,48.0,1,1.0,14.3,HEAVY
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,11,0,466,16.0,1,1.0,4.0,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,23,4,483,18.0,1,1.0,6.6,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,22,3,471,12.0,1,1.0,4.5,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,21,1,506,12.0,1,1.0,4.0,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,23,4,513,20.0,1,1.0,6.7,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,18,3,181,18.0,1,1.0,5.0,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,22,3,414,18.0,1,1.0,7.8,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,19,2,547,24.0,0,1.0,4.3,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,0,2,65,22.0,0,1.0,17.3,HEAVY
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,23,3,598,12.0,1,0.5,4.0,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,8,2,462,22.0,0,0.5,4.0,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,23,3,385,18.0,1,1.0,8.4,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,18,3,566,16.0,1,1.0,4.0,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,12,6,195,20.0,1,0.5,6.6,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,9,2,520,20.0,1,1.0,4.0,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,19,2,75,24.0,0,1.0,10.9,HEAVY
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,16,2,278,35.0,0,0.5,10.0,HEAVY
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,23,3,263,48.0,1,1.0,28.2,MODERATE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,5,4,339,48.0,1,1.0,24.5,MODERATE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,12,0,549,16.0,1,1.0,4.8,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,1,0,557,20.0,1,1.0,5.9,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,21,5,93,20.0,1,0.5,4.0,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,14,4,383,20.0,1,1.0,9.3,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,21,3,541,24.0,0,1.0,4.4,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,6,4,512,20.0,1,1.0,6.8,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,0,2,328,24.0,0,1.0,12.5,HEAVY
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,17,4,481,48.0,1,1.0,7.3,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,20,6,363,22.0,0,1.0,6.3,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,12,4,212,35.0,0,1.0,22.3,MODERATE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,23,2,157,35.0,0,1.0,24.3,MODERATE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,21,2,468,48.0,1,1.0,7.6,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,14,6,465,24.0,0,0.5,4.6,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,16,6,413,16.0,1,1.0,7.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,2,1,64,12.0,1,1.0,9.4,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,9,2,144,22.0,0,1.0,9.1,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,19,2,255,24.0,0,0.5,4.2,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,4,5,548,24.0,0,1.0,7.2,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,13,1,477,16.0,1,1.0,6.0,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,12,1,587,24.0,0,1.0,6.3,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,9,4,475,35.0,0,0.5,4.0,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,1,0,457,24.0,0,1.0,9.4,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,8,2,388,20.0,1,1.0,4.0,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,19,1,371,20.0,1,1.0,4.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,8,3,109,48.0,1,0.5,7.3,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,6,5,452,12.0,1,1.0,4.8,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,10,5,438,18.0,1,1.0,4.0,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,5,0,409,24.0,0,1.0,10.6,HEAVY
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,2,2,389,24.0,0,0.5,5.5,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,2,3,592,20.0,1,1.0,5.2,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,9,5,234,22.0,0,1.0,8.0,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,3,5,378,24.0,0,1.0,11.3,HEAVY
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,19,5,511,24.0,0,1.0,4.8,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,15,1,529,48.0,1,1.0,15.4,HEAVY
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,4,1,400,20.0,1,1.0,9.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,12,4,195,48.0,1,1.0,31.4,LOW
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,15,5,427,12.0,1,1.0,5.1,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,23,4,390,48.0,1,0.5,11.0,HEAVY
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,6,6,296,16.0,1,1.0,8.9,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,10,5,516,12.0,1,1.0,4.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,15,4,485,48.0,1,1.0,17.5,HEAVY
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,23,5,70,12.0,1,1.0,9.4,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,1,5,138,20.0,1,0.5,7.1,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,12,3,341,16.0,1,1.0,8.1,SEVERE
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,4,5,468,20.0,1,1.0,7.6,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,22,5,330,24.0,0,1.0,12.5,HEAVY
Bengaluru,Outer Ring Road (Marathahalli - Bellandur),BLR_EAST,10,0,311,20.0,1,0.5,4.0,SEVERE
Bengaluru,M.G. Road & Trinity Circle Corridor,BLR_CENTRAL,0,2,524,22.0,0,1.0,7.2,SEVERE
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,13,4,146,24.0,0,1.0,16.9,HEAVY
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,19,0,62,16.0,1,0.5,4.0,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,12,2,87,35.0,0,1.0,26.7,MODERATE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,18,3,130,12.0,1,1.0,4.0,SEVERE
Bengaluru,Tin Factory & K.R. Puram Junction,BLR_EAST,20,2,115,12.0,1,1.0,4.0,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,3,0,345,16.0,1,1.0,8.1,SEVERE
Bengaluru,Whitefield ITPB Main Road,BLR_EAST,12,3,348,16.0,1,1.0,8.0,SEVERE
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,0,3,276,48.0,1,0.5,13.8,HEAVY
Bengaluru,Electronic City Elevated Expressway,BLR_SOUTH,1,2,436,48.0,1,1.0,19.9,HEAVY
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,7,1,401,35.0,0,1.0,15.7,HEAVY
Bengaluru,Central Silk Board Junction,BLR_SOUTH,17,0,320,18.0,1,1.0,4.0,SEVERE
Bengaluru,Central Silk Board Junction,BLR_SOUTH,5,0,522,18.0,1,1.0,5.9,SEVERE
Bengaluru,Hebbal Flyover to Airport Expressway,BLR_NORTH,10,0,235,35.0,0,1.0,12.7,HEAVY
Bengaluru,Goraguntepalya Tumkur Road Junction,BLR_WEST,10,2,498,24.0,0,1.0,5.0,SEVERE
