city,corridor,zone,hour,day_of_week,vehicle_count,historical_avg_speed_kmh,target_speed_kmh,congestion_level
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,1,3,276,25.0,13.9,HEAVY
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,21,0,348,45.0,10.2,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,19,4,341,35.0,8.0,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,20,6,165,22.0,7.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,20,6,404,35.0,6.9,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,11,3,439,18.0,5.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,21,2,509,25.0,5.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,12,5,109,25.0,18.4,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,22,4,167,18.0,12.1,HEAVY
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,3,1,484,16.0,5.4,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,10,4,319,14.0,5.0,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,6,2,266,18.0,10.2,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,5,3,207,22.0,13.9,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,13,6,222,18.0,11.1,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,2,6,324,16.0,8.1,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,22,5,202,14.0,8.9,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,10,1,352,22.0,5.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,9,6,469,25.0,5.0,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,0,1,343,14.0,6.8,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,13,2,255,25.0,14.5,HEAVY
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,13,1,93,45.0,33.8,LOW
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,17,0,226,20.0,5.7,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,18,4,242,14.0,5.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,11,3,375,35.0,7.4,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,20,5,98,20.0,7.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,8,1,493,35.0,11.4,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,20,1,80,18.0,6.5,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,21,1,519,14.0,5.0,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,6,6,277,18.0,10.0,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,7,6,501,14.0,5.0,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,9,1,170,22.0,6.9,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,23,1,182,25.0,16.4,HEAVY
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,23,3,114,35.0,25.5,MODERATE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,13,3,452,45.0,16.6,HEAVY
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,11,1,324,35.0,8.3,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,10,1,453,18.0,5.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,19,4,442,35.0,6.3,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,2,3,205,16.0,10.1,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,10,0,278,25.0,6.5,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,11,4,303,25.0,6.2,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,19,4,223,35.0,10.1,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,6,3,92,25.0,18.8,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,12,3,368,18.0,8.3,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,23,6,386,14.0,6.2,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,9,6,328,18.0,5.0,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,4,5,193,20.0,12.9,HEAVY
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,12,3,315,20.0,10.3,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,11,3,461,35.0,5.9,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,19,6,86,16.0,5.7,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,17,1,128,22.0,7.4,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,4,3,206,45.0,28.4,MODERATE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,10,2,168,35.0,11.1,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,0,3,518,35.0,10.5,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,21,3,117,45.0,15.4,HEAVY
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,9,5,187,45.0,13.8,HEAVY
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,17,6,332,20.0,5.0,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,3,6,228,14.0,8.5,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,20,5,122,16.0,5.4,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,12,2,357,20.0,9.4,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,23,1,347,18.0,8.7,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,15,1,182,14.0,9.2,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,0,5,454,14.0,5.1,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,6,1,471,18.0,6.3,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,12,3,96,25.0,18.7,HEAVY
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,18,2,221,25.0,7.2,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,5,0,81,20.0,15.3,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,16,2,305,14.0,7.4,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,5,0,306,20.0,10.5,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,13,2,297,25.0,13.4,HEAVY
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,15,5,284,45.0,24.7,MODERATE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,8,5,236,20.0,12.0,HEAVY
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,6,4,305,16.0,8.4,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,2,6,442,25.0,9.5,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,20,6,139,45.0,14.9,HEAVY
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,10,1,503,25.0,5.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,10,2,297,35.0,8.8,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,22,1,456,25.0,9.1,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,13,4,154,16.0,11.0,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,9,2,311,18.0,5.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,8,6,405,25.0,10.5,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,7,6,308,25.0,13.1,HEAVY
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,21,4,297,20.0,5.0,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,16,5,204,45.0,28.5,MODERATE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,22,5,374,45.0,20.4,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,14,2,261,18.0,10.3,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,14,3,427,22.0,8.7,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,22,2,438,16.0,6.2,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,23,3,177,20.0,13.2,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,20,4,465,14.0,5.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,9,6,454,16.0,5.0,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,12,0,332,22.0,10.9,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,23,4,303,22.0,11.6,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,10,5,440,14.0,5.0,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,20,4,154,14.0,5.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,4,6,113,25.0,18.2,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,12,6,380,18.0,8.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,10,4,364,35.0,7.6,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,11,3,388,16.0,5.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,9,3,472,35.0,5.7,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,4,4,166,14.0,9.4,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,19,5,377,45.0,9.5,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,16,1,221,18.0,11.1,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,5,4,153,25.0,17.2,HEAVY
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,4,4,466,35.0,12.4,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,21,0,413,18.0,5.0,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,6,4,278,14.0,7.8,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,6,5,95,18.0,13.5,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,12,4,503,14.0,5.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,5,4,415,16.0,6.5,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,8,1,397,16.0,6.9,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,9,2,429,35.0,6.5,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,4,2,409,25.0,10.4,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,19,5,311,18.0,5.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,15,0,434,35.0,13.6,HEAVY
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,16,6,202,35.0,22.2,MODERATE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,22,5,417,16.0,6.5,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,2,3,470,22.0,7.7,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,5,3,451,20.0,7.4,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,19,6,423,35.0,6.6,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,7,0,84,35.0,26.6,MODERATE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,12,6,240,18.0,10.7,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,14,4,183,14.0,9.2,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,8,3,192,18.0,11.6,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,11,4,391,22.0,5.0,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,16,6,213,18.0,11.2,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,8,3,185,45.0,29.4,MODERATE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,22,6,171,18.0,12.0,HEAVY
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,1,4,468,16.0,5.6,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,7,5,513,20.0,6.1,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,12,2,408,18.0,7.5,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,13,2,422,45.0,18.1,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,22,0,230,18.0,10.9,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,7,0,353,45.0,21.4,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,9,0,285,18.0,5.0,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,2,3,136,22.0,15.5,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,12,6,82,14.0,10.7,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,20,2,219,16.0,5.0,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,21,6,496,45.0,6.8,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,9,1,249,25.0,6.9,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,14,6,391,45.0,19.6,HEAVY
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,10,5,440,35.0,6.3,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,4,2,100,14.0,10.4,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,16,3,406,35.0,14.7,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,0,3,320,14.0,7.1,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,14,5,318,14.0,7.2,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,11,1,426,18.0,5.0,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,23,3,516,20.0,6.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,8,4,379,25.0,11.2,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,0,2,229,14.0,8.5,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,11,0,115,35.0,12.0,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,15,2,467,14.0,5.0,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,17,6,437,45.0,8.2,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,9,0,370,20.0,5.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,15,3,164,35.0,23.7,MODERATE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,8,3,204,35.0,22.2,MODERATE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,23,0,100,45.0,33.5,LOW
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,8,5,364,20.0,9.3,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,18,0,96,20.0,7.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,21,0,362,16.0,5.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,17,3,381,35.0,7.3,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,3,5,376,16.0,7.2,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,22,3,361,45.0,21.0,HEAVY
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,7,5,331,20.0,10.0,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,0,6,199,20.0,12.8,HEAVY
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,20,2,449,35.0,6.1,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,14,5,335,45.0,22.2,MODERATE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,17,0,478,18.0,5.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,22,6,407,25.0,10.4,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,21,1,214,18.0,5.3,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,8,6,201,18.0,11.5,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,11,4,498,20.0,5.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,23,3,305,16.0,8.4,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,16,1,381,45.0,20.0,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,12,0,127,14.0,10.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,12,4,229,16.0,9.7,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,0,1,265,45.0,25.6,MODERATE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,4,6,361,22.0,10.3,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,16,3,149,22.0,15.2,HEAVY
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,21,6,252,25.0,6.9,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,8,2,111,45.0,32.9,LOW
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,14,5,462,35.0,12.6,HEAVY
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,20,4,297,20.0,5.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,21,4,231,25.0,7.1,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,11,1,316,14.0,5.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,14,6,402,16.0,6.8,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,2,3,81,22.0,16.8,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,9,2,295,14.0,5.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,8,5,193,16.0,10.3,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,15,1,331,20.0,10.0,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,21,2,262,35.0,9.4,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,8,4,322,35.0,17.8,HEAVY
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,18,2,415,16.0,5.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,12,6,236,25.0,15.0,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,13,5,271,14.0,7.9,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,14,2,119,20.0,14.5,HEAVY
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,14,2,332,20.0,9.9,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,10,0,404,22.0,5.0,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,9,6,101,45.0,15.7,HEAVY
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,9,5,373,14.0,5.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,2,3,283,16.0,8.8,SEVERE
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,11,6,96,18.0,6.3,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,17,6,151,14.0,5.0,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,9,2,119,22.0,7.5,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,6,5,302,16.0,8.5,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,16,2,505,20.0,6.3,SEVERE
Delhi NCR,Ashram Chowk & Mathura Road,DELHI_SOUTH,4,0,331,14.0,7.0,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,0,0,397,16.0,6.9,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,0,4,376,20.0,9.0,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,15,1,179,25.0,16.5,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,3,5,418,18.0,7.3,SEVERE
Delhi NCR,Gurgaon Expressway (Sirhaul Border),DELHI_GURGAON,21,5,184,35.0,10.8,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,21,2,271,22.0,5.8,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,3,4,368,45.0,20.7,HEAVY
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,2,3,155,16.0,11.0,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,20,4,85,22.0,7.9,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,9,4,362,16.0,5.0,SEVERE
Delhi NCR,Peeragarhi Outer Ring Road,DELHI_WEST,22,2,456,20.0,7.3,SEVERE
Delhi NCR,Laxmi Nagar Vikas Marg,DELHI_EAST,1,0,142,16.0,11.2,SEVERE
Delhi NCR,DND Flyway (Delhi-Noida Link),DELHI_EAST,19,5,128,45.0,15.1,HEAVY
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,21,2,193,25.0,7.6,SEVERE
Delhi NCR,Connaught Place Outer Circle,DELHI_CENTRAL,22,0,454,25.0,9.2,SEVERE
Delhi NCR,AIIMS Ring Road Flyover,DELHI_SOUTH,4,3,109,22.0,16.2,HEAVY
Delhi NCR,ITO Junction & Vikas Marg,DELHI_CENTRAL,13,3,406,18.0,7.5,SEVERE
